,index,Fos_puncta_adj,Gad2_puncta_adj,IL34_puncta_adj,fos_status,cell_type,animal_id,image_number
62,D05_A01_G004_0001.xls,0.0,32.182798715752334,8.045699678938083,fos-,Gad2,D05,4
63,D05_A01_G004_0001.xls,5.265208527838183,0.0,16.848667289082186,fos-,VGlut1,D05,4
64,D05_A01_G004_0001.xls,0.0,0.0,13.242827744629396,fos-,VGlut1,D05,4
65,D05_A01_G004_0001.xls,9.063855258610864,1.510642543101811,10.574497801712676,fos+,VGlut1,D05,4
67,D05_A01_G004_0001.xls,3.524949766131072,0.0,14.099799064524287,fos-,VGlut1,D05,4
68,D05_A01_G004_0001.xls,1.2510290026609563,2.5020580053219126,10.00823202128765,fos-,VGlut1,D05,4
69,D05_A01_G004_0001.xls,5.007878809984866,0.0,10.015757619969731,fos-,VGlut1,D05,4
70,D05_A01_G004_0001.xls,16.345157368030613,0.0,16.345157368030613,fos+,VGlut1,D05,4
71,D05_A01_G004_0001.xls,0.0,17.126185407952377,8.059381368448179,fos-,Gad2,D05,4
72,D05_A01_G004_0001.xls,0.0,0.0,11.550202361180895,fos-,VGlut1,D05,4
73,D05_A01_G004_0001.xls,1.2355075395444985,0.0,18.53261309316748,fos-,VGlut1,D05,4
75,D05_A01_G004_0001.xls,0.0,0.0,9.906139120217972,fos-,VGlut1,D05,4
76,D05_A01_G004_0001.xls,2.730454904719612,37.31621703116802,9.101516349065372,fos-,Gad2,D05,4
77,D05_A01_G004_0001.xls,2.790622493279146,0.0,20.929668699593595,fos-,VGlut1,D05,4
0,D05_A01_G005_0001.xls,7.033403802834597,0.0,14.066807605669194,fos+,VGlut1,D05,5
1,D05_A01_G005_0001.xls,3.7532936388728575,1.2510978796242858,6.255489398121428,fos-,VGlut1,D05,5
2,D05_A01_G005_0001.xls,10.200334723386273,0.0,6.120200834031763,fos+,VGlut1,D05,5
3,D05_A01_G005_0001.xls,6.723909224352708,0.0,13.447818448705416,fos+,VGlut1,D05,5
4,D05_A01_G005_0001.xls,2.4740798458532285,19.792638766825828,11.545705947315065,fos-,Gad2,D05,5
5,D05_A01_G005_0001.xls,3.726004408801994,0.0,10.432812344645583,fos-,VGlut1,D05,5
6,D05_A01_G005_0001.xls,13.450713743070144,4.20334804470942,15.972722569895799,fos+,VGlut1,D05,5
8,D05_A01_G005_0001.xls,11.35099520968234,0.0,22.70199041936468,fos+,VGlut1,D05,5
9,D05_A01_G005_0001.xls,6.4428563198604465,27.9190440527286,17.180950186294524,fos+,Gad2,D05,5
10,D05_A01_G005_0001.xls,4.537812484399019,0.0,20.420156179795587,fos-,VGlut1,D05,5
11,D05_A01_G005_0001.xls,13.504753534767762,0.0,19.506866216886767,fos+,VGlut1,D05,5
12,D05_A01_G005_0001.xls,1.9448894954006521,0.0,19.44889495400652,fos-,VGlut1,D05,5
13,D05_A01_G005_0001.xls,8.806382800033592,0.0,17.612765600067185,fos+,VGlut1,D05,5
14,D05_A01_G005_0001.xls,3.43902596194528,0.0,9.170735898520746,fos-,VGlut1,D05,5
18,D05_A01_G005_0001.xls,5.300652875824182,0.0,22.969495795238124,fos-,VGlut1,D05,5
19,D05_A01_G005_0001.xls,7.438677673342892,0.0,27.895041275035844,fos+,VGlut1,D05,5
20,D05_A01_G005_0001.xls,3.296478659002783,0.0,8.790609757340754,fos-,VGlut1,D05,5
